Salida					Destino								Distancia - Fórmula		Distancia - plataforma		Costo Trayecto							
Terminal	Latitud (DD)	Longitud (DD)	Latitud (rad)	Longitud (rad)	Terminal	Latitud (DD)	Longitud (DD)	Latitud (rad)	Longitud (rad)	delta lat	delta long	a	distancia (km)	distancia (mi)	distancia (km)	distancia (mi)	Flete	BAF	CAF 	THC O	DOC 	THC D	LSS	Total 
Halifax	51,21989	44,03460	0,893955723	0,768548755	New Orleans	29,95465	-90,07507	0,522807269	-1,572106545	-43,51179	-2,466062268	0,824552645	14508,0667	7833,729321	3300	1781,857451	1400	178	77,00	420	50	420	75	2620
Hamburg Ctb	53,57532	10,01534	0,935065732	0,174800659	Cartagena Contecar	10,39972	-75,51444	0,181509355	-1,317975611	-9,833830645	-2,253041343	0,292688798	7283,763658	3932,917742	10600	5723,542117	800	371	44,00	277,34	17,33	110	75	1694,67
Hamburg Ctb	53,57532	10,01534	0,935065732	0,174800659	Suape	-8,39438	-34,97405	-0,14650957	-0,610412325	-10,16184957	-1,545478057	0,469756727	9621,94824	5195,436415	10600	5723,542117	1400	371	77,00	277,34	17,33	333,59	75	2551,26
Houston	29,75757	-95,35120	0,519367574	-1,664192386	Santos	-23,96083	-46,33361	-0,418195375	-0,808674049	94,93300	-1,328041623	0,269237068	6951,282718	3753,392396	7470	4033,477322	800	386	44,00	440	50	226,29	75	2021,29
Houston	29,75757	-95,35120	0,519367574	-1,664192386	Buenos Aires	-38,04354	-57,5458	-0,663985032	-1,004363681	94,68721	-1,523731255	0,216568957	6167,793771	3330,342209	5700	3077,75378	1400	386	77,00	440	50	220	75	2648
Houston	29,75757	-95,35120	0,519367574	-1,664192386	Montevideo	-34,90111	-56,16453	-0,609139282	-0,980255971	94,74206	-1,499623545	0,231461812	6395,394437	3453,236737	5666	3059,395248	1095	386	60,23	440	50	270	75	2376,225
Houston	29,75757	-95,35120	0,519367574	-1,664192386	Rio Grande	-30,02770	-51,22870	-0,524082232	-0,894109487	94,82712	-1,41347706	0,24606801	6613,690216	3571,107028	5200	2807,775378	1000	386	55,00	440	50	209,9	75	2215,9
Kingston	17,99702	-76,79358	0,314107255	-1,340300815	Navegantes	-26,89940	-48,65530	-0,469483097	-0,849195184	76,3240969	-1,163302438	0,246415643	6618,831026	3573,882843	4630	2500	1300	149	71,50	290	50	215,77	75	2151,27
Kingston	17,99702	-76,79358	0,314107255	-1,340300815	Cartagena Contecar	10,39972	-75,51444	0,181509355	-1,317975611	76,97508936	-1,632082865	0,59412907	11214,13608	6055,149071	685	369,8704104	1300	149	71,50	290	50	110	75	2045,5
Kingston	17,99702	-76,79358	0,314107255	-1,340300815	Veracruz	19,4795	-99,08862	0,339981412	-1,72942267	77,13356141	-2,043529925	0,701637162	12652,09595	6831,585288	2400	1295,896328	1000	149	55,00	290	50	303,82	75	1922,82
Kingston	17,99702	-76,79358	0,314107255	-1,340300815	Paita	-5,08170	-81,17700	-0,088692397	-1,416805927	76,7048876	-1,730913181	0,470250939	9628,256856	5198,842795	3330	1798,056156	725	149	39,88	290	50	75	75	1403,875
Kingston	17,99702	-76,79358	0,314107255	-1,340300815	Buenaventura	3,96275	-77,37635	0,069163035	-1,350472071	76,86274303	-1,664579325	0,542176522	10545,59602	5694,166315	1940	1047,516199	667	149	36,69	290	50	100	75	1367,685
Kingston	17,99702	-76,79358	0,314107255	-1,340300815	Cartagena Contecar	10,39972	-75,51444	0,181509355	-1,317975611	76,97508936	-1,632082865	0,59412907	11214,13608	6055,149071	685	369,8704104	860	149	47,30	290	50	110	75	1581,3
Kingston	17,99702	-76,79358	0,314107255	-1,340300815	Cartagena Contecar	10,39972	-75,51444	0,181509355	-1,317975611	76,97508936	-1,632082865	0,59412907	11214,13608	6055,149071	14642	7906,047516	860	149	47,30	290	50	110	75	1581,3
Kingston	17,99702	-76,79358	0,314107255	-1,340300815	Puerto Cabello	10,46670	-68,01670	0,182678377	-1,187115361	76,97625838	-1,501222616	0,583471828	11076,14489	5980,639788	1100	593,9524838	1680	149	92,40	290	50	350	75	2686,4
La Guaira	10,59574	-66,95663	0,18493055	-1,16861365	Manzanillo International Terminal (MIT)	9,35970	-79,88280	0,163357582	-1,394217876	67,11998758	-1,579148425	0,430039137	9113,167372	4920,716723	2060	1112,311015	950	149	52,25	350	85	303,82	75	1965,07
Le Havre	49,49437	0,10800	0,863839718	0,001884956	Cartagena Contecar	10,39972	-75,51444	0,181509355	-1,317975611	0,07351	-2,181815329	0,770766231	13653,40502	7372,248931	7800	4211,663067	525	371	28,88	248,45	17,33	110	75	1375,655
Le Havre	49,49437	0,10800	0,863839718	0,001884956	Rio Haina	18,41700	-70,01900	0,321437288	-1,222062089	0,21344	-2,085901807	0,715309019	12843,7689	6935,080401	7200	3887,688985	1400	371	77,00	248,45	17,33	128	75	2316,78
Leghorn	35,88556	14,54750	0,626321176	0,253901773	San Juan	18,46633	-66,10572	0,322298259	-1,153762468	-14,22520	-1,780083644	0,315467164	7599,282968	4103,28454	8100	4373,650108	1400	208	77,00	189,87	81,37	210	75	2241,24
London Gateway	51,50720	-0,12750	0,898970228	-0,002225295	Caucedo	18,42423	-69,63450	0,321563476	-1,215351298	0,44906	-2,114321526	0,763426441	13542,77063	7312,511141	8100	4373,650108	1351	208	74,31	226	33,64	175	75	2142,945
London Gateway	51,50720	-0,12750	0,898970228	-0,002225295	Colon container terminal	9,35890	-79,8997	0,163343619	-1,394512836	0,29084	-2,293483065	0,833989394	14667,86263	7920,012219	7800	4211,663067	1124	208	61,82	226	33,64	235	75	1963,46
Los Angeles	34,05223	-118,24368	0,594323531	-2,063741536	Le Havre	49,49437	0,10800	0,863839718	0,001884956	119,1075197	-0,592438576	0,041787638	2623,213526	1416,42199	10400	5615,550756	1400	89	77,00	420	50	248,45	75	2359,45
Manzanillo International Terminal (MIT)	9,3597	-79,8828	0,163357582	-1,394217876	Rotterdam	51,92423	4,50125	0,906248775	0,078561633	80,78904878	-0,084795949	0,185961673	5681,130746	3067,565197	8900	4805,615551	1454	208	79,97	303,82	60	260,39	75	2441,18
Manzanillo International Terminal (MIT)	9,3597	-79,8828	0,163357582	-1,394217876	Hamburg Ctb	53,57532	10,01534	0,935065732	0,174800659	80,81786573	0,011443077	0,175121538	5501,560534	2970,60504	12804	6913,606911	2537	208	139,54	303,82	60	277,34	75	3600,695
Manzanillo International Terminal (MIT)	9,3597	-79,8828	0,163357582	-1,394217876	Antwerp	51,16720	4,20720	0,893036109	0,073429492	80,77583611	-0,08992809	0,191096402	5764,769696	3112,726618	12465	6730,561555	1344	208	73,92	303,82	60	260,39	75	2325,13
Mariel	22,99190	-82,46670	0,401284356	-1,439315438	Halifax	51,21989	44,0346	0,893955723	0,768548755	83,36066	0,367264399	0,56888785	10888,11336	5879,110885	2986	1612,311015	1400	386	77,00	271	45	420	75	2674
Marsaxlok	35,84194	14,54306	0,625559863	0,25382428	Port Everglades	25,85760	-81,38660	0,451300257	-1,420464137	-14,09175974	-2,046024	0,218365939	6195,546382	3345,32742	8904	4807,775378	1400	386	77,00	125,96	40	440	75	2543,96
Marseilles Fos	43,29695	5,38107	0,755674334	0,093917389	Terminal internacional PSA Panamá	8,9369	-79,5755	0,15597833	-1,388854479	-5,22509	-2,144528812	0,727148865	13012,00341	7025,919766	340	183,5853132	1631	371	89,71	249,27	40,1	200	75	2656,075
Melbourne	-37,82420	144,96790	-0,660156827	2,530167165	Los Angeles	34,05223	-118,24368	0,594323531	-2,063741536	-144,37358	-1,403584709	0,315109253	7594,375294	4100,634608	17000	9179,265659	1400	594	77,00	390,35	78,99	420	75	3035,34
